Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Type_H,Type_L,Type_M,Target,Failure Type_Heat,Failure Type_None,Failure Type_Overstrain,Failure Type_Power,Failure Type_Random,Failure Type_Tool
0.6172839506172849,0.16011730205278596,0.489010989010989,0.06719367588932806,0,0,1,0,0,1,0,0,0,0
0.49382716049382935,0.4029325513196482,0.27472527472527475,0.46640316205533594,0,0,1,0,0,1,0,0,0,0
0.3456790123456841,0.25513196480938416,0.3626373626373626,0.13438735177865613,0,1,0,0,0,1,0,0,0,0
0.8518518518518547,0.3442815249266862,0.2760989010989011,0.5889328063241106,0,0,1,0,0,1,0,0,0,0
0.9506172839506135,0.2598240469208212,0.38873626373626374,0.20948616600790512,0,0,1,0,0,1,0,0,0,0
0.7160493827160508,0.12082111436950149,0.5975274725274724,0.007905138339920948,0,1,0,0,0,1,0,0,0,0
0.654320987654323,0.20410557184750733,0.5192307692307692,0.04743083003952569,0,1,0,0,0,1,0,0,0,0
0.3209876543209944,0.08504398826979476,0.7335164835164835,0.3952569169960474,0,0,1,0,0,1,0,0,0,0
0.6296296296296333,0.19237536656891496,0.4010989010989011,0.6047430830039525,0,1,0,0,0,1,0,0,0,0
0.24691358024691112,0.24164222873900298,0.4271978021978022,0.32806324110671936,0,1,0,0,0,1,0,0,0,0
0.3333333333333357,0.17947214076246343,0.5824175824175825,0.592885375494071,1,0,0,0,0,1,0,0,0,0
0.3950617283950635,0.3994134897360704,0.3186813186813187,0.6798418972332015,0,1,0,0,0,1,0,0,0,0
0.5061728395061778,0.08387096774193548,0.9478021978021977,0.6284584980237153,1,0,0,1,0,0,0,1,0,0
0.5555555555555571,0.29032258064516137,0.396978021978022,0.07114624505928853,0,1,0,0,0,1,0,0,0,0
0.0,0.17243401759530796,0.6483516483516483,0.7391304347826086,0,1,0,0,0,1,0,0,0,0
0.9506172839506135,0.3278592375366569,0.2733516483516484,0.33992094861660077,0,1,0,0,0,1,0,0,0,0
0.827160493827158,0.2005865102639297,0.4931318681318682,0.9446640316205533,0,1,0,0,0,1,0,0,0,0
0.6790123456790127,0.253958944281525,0.43818681318681324,0.8181818181818181,0,0,1,0,0,1,0,0,0,0
0.5679012345679055,0.2357771260997068,0.39560439560439564,0.9090909090909091,0,1,0,0,0,1,0,0,0,0
0.2962962962963047,0.3413489736070381,0.3379120879120879,0.2134387351778656,0,1,0,0,0,1,0,0,0,0
0.7407407407407405,0.2099706744868035,0.4766483516483517,0.8735177865612648,0,1,0,0,0,1,0,0,0,0
0.5802469135802468,0.19941348973607043,0.4766483516483517,0.5612648221343873,0,1,0,0,0,1,0,0,0,0
0.3703703703703738,0.20879765395894434,0.5357142857142856,0.7984189723320158,0,1,0,0,0,1,0,0,0,0
0.5925925925925952,0.1900293255131965,0.4807692307692308,0.11857707509881422,0,1,0,0,0,1,0,0,0,0
0.9135802469135825,0.3571847507331378,0.31456043956043955,0.06719367588932806,1,0,0,0,0,1,0,0,0,0
0.7530864197530889,0.16656891495601178,0.5,0.5652173913043478,0,1,0,0,0,1,0,0,0,0
0.4074074074074119,0.36539589442815257,0.315934065934066,0.06719367588932806,0,0,1,0,0,1,0,0,0,0
0.5802469135802468,0.29794721407624636,0.36813186813186816,0.43478260869565216,0,1,0,0,0,1,0,0,0,0
0.5679012345679055,0.25161290322580654,0.40521978021978017,0.9209486166007904,0,1,0,0,0,1,0,0,0,0
0.9135802469135825,0.30087976539589445,0.3791208791208791,0.458498023715415,0,0,1,0,0,1,0,0,0,0
0.3580246913580325,0.20586510263929625,0.4793956043956044,0.5375494071146245,0,1,0,0,0,1,0,0,0,0
0.3827160493827222,0.1313782991202347,0.7060439560439561,0.40711462450592883,0,1,0,0,0,1,0,0,0,0
0.5679012345679055,0.24164222873900298,0.4436813186813187,0.14229249011857706,0,0,1,0,0,1,0,0,0,0
0.44444444444444997,0.20175953079178888,0.5178571428571428,0.11857707509881422,0,1,0,0,0,1,0,0,0,0
0.4320987654321016,0.12258064516129041,0.5425824175824175,0.8735177865612648,0,1,0,0,0,1,0,0,0,0
0.6049382716049436,0.20175953079178888,0.5233516483516483,0.8063241106719367,0,1,0,0,0,1,0,0,0,0
0.6172839506172849,0.18299120234604105,0.6497252747252747,0.3438735177865612,0,1,0,0,0,1,0,0,0,0
0.7530864197530889,0.27155425219941354,0.4587912087912089,0.7707509881422925,0,0,1,0,0,1,0,0,0,0
0.45679012345679126,0.059824046920821106,0.8008241758241758,0.32806324110671936,0,0,1,0,0,1,0,0,0,0
0.7530864197530889,0.2680351906158358,0.42994505494505497,0.06719367588932806,0,1,0,0,0,1,0,0,0,0
0.4320987654321016,0.16011730205278596,0.5576923076923076,0.07509881422924901,0,0,1,0,0,1,0,0,0,0
0.7407407407407405,0.08093841642228738,0.6538461538461537,0.6719367588932806,0,0,1,0,0,1,0,0,0,0
0.6666666666666714,0.16304985337243405,0.5673076923076923,0.38339920948616596,0,1,0,0,0,1,0,0,0,0
0.7283950617283992,0.20410557184750733,0.43543956043956045,0.08300395256916995,0,1,0,0,0,1,0,0,0,0
0.18518518518518334,0.1313782991202347,0.548076923076923,0.007905138339920948,0,0,1,0,0,1,0,0,0,0
0.8395061728395063,0.1008797653958945,0.6483516483516483,0.6798418972332015,0,0,1,0,0,1,0,0,0,0
0.2716049382716008,0.1730205278592376,0.5686813186813187,0.35968379446640314,0,1,0,0,0,1,0,0,0,0
0.45679012345679126,0.25630498533724344,0.38049450549450553,0.4268774703557312,0,1,0,0,0,1,0,0,0,0
0.49382716049382935,0.19824046920821115,0.4931318681318682,0.06324110671936758,0,0,1,0,0,1,0,0,0,0
0.5061728395061778,0.1853372434017596,0.5192307692307692,0.46640316205533594,0,1,0,0,0,1,0,0,0,0
0.4197530864197603,0.3120234604105572,0.40796703296703296,0.5573122529644269,0,1,0,0,0,1,0,0,0,0
0.790123456790127,0.11495601173020531,0.6332417582417582,0.18972332015810275,0,1,0,0,0,1,0,0,0,0
0.7160493827160508,0.1425219941348974,0.5686813186813187,0.1541501976284585,0,1,0,0,0,1,0,0,0,0
0.8024691358024683,0.23049853372434026,0.4793956043956044,0.11857707509881422,0,1,0,0,0,1,0,0,0,0
0.20987654320987303,0.1472140762463343,0.5,0.5217391304347826,1,0,0,0,0,1,0,0,0,0
0.3580246913580325,0.19354838709677424,0.43818681318681324,0.4743083003952569,0,1,0,0,0,1,0,0,0,0
0.7283950617283992,0.22697947214076253,0.44230769230769235,0.0909090909090909,0,1,0,0,0,1,0,0,0,0
0.6790123456790127,0.1255131964809385,0.5906593406593406,0.37549407114624506,1,0,0,0,0,1,0,0,0,0
0.7777777777777786,0.1759530791788857,0.5096153846153846,0.5217391304347826,0,1,0,0,0,1,0,0,0,0
0.45679012345679126,0.14780058651026395,0.6112637362637362,0.5494071146245059,0,0,1,0,0,1,0,0,0,0
